OBJECTID,REGION_NAM,ROUTE_NAME,ROUTE_CODE,MDU_NAME,MDU_CODE,TME_NAME,TME_CODE,SHAPE_Leng,SHAPE_Area
25,Wales & Western,Western,HD,Western West MDU,HD8,TME Plymouth,HD8075,969772.624632132006809,3299315344.315827369689941
26,Eastern,East Midlands,HM,Derby MDU,HM9,TME Derby,HM9083,275833.678065132000484,1744847305.576777935028076
27,North West & Central,LNW North,HR,Lanc&Cumbria MDU-HR1,HR1,TME Blackburn,HR1600,215604.795516514568590,1496919750.251859903335571
28,Southern,Wessex,HW,Wessex Inner MDU,HW2,TME Woking,HW2082,260899.727851501898840,850614747.956780433654785
29,Southern,Kent,HK,Lon Bridge MDU,HK4,TME Hither Green,HK4034,58885.128980416986451,65368365.598261781036854
30,Eastern,Anglia,HT,Romford MDU,HT6,TME Barking,HT6037,266112.342194094962906,352292991.110021412372589
31,Eastern,Anglia,HT,Ipswich MDU,HT7,TME Ipswich,HT7002,665462.594641687232070,2570058504.254431247711182
32,Scotland,Scotland,HL,Motherwell MDU,HL4,TME Irvine,HL4004,664403.032221307163127,4567467034.813376426696777
33,Southern,Wessex,HW,Wessex Outer MDU,HW4,TME Salisbury,HW4086,478685.403793527628295,4834277292.648585319519043
34,Wales & Western,Wales,HC,Cardiff MDU,HC6,TME Cardiff,HC6024,159676.124430313357152,440478865.159120738506317
35,Wales & Western,Wales,HC,Shrewsbury MDU,HC7,TME Hereford,HC7055,969546.869314475567080,11909174558.959144592285156
36,Scotland,Scotland,HL,Edinburgh MDU,HL3,TME Edinburgh,HL3003,468280.366396363824606,4456457055.394685745239258
37,Wales & Western,Western,HD,Western West MDU,HD8,TME Westbury,HD8077,340894.803095233859494,2178220503.063797473907471
38,North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,TME Banbury,HS6010,428670.313362198765390,2623774380.942450046539307
39,North West & Central,LNW North,HR,Manchester MDU - HR5,HR5,TME Manchester South,HR5002,167951.460446623590542,885744064.993471622467041
40,Eastern,North and East,HF,Middlesbrough MDU - HF1,HF1,TME Middlesbrough,HF1067,109667.097250838298351,177957930.791787981987000
41,Southern,Kent,HK,Lon Bridge MDU,HK4,TME Dartford,HK4035,180819.565351318859030,289831711.533299088478088
42,Southern,Kent,HK,Ashford MDU,HK6,TME Faversham,HK6045,466109.972188821120653,1525190612.405067443847656
43,Eastern,Anglia,HT,Tottenham MDU,HT8,TME Ely,HT8035,498029.795869495836087,6376804732.674208641052246
44,Scotland,Scotland,HL,Perth MDU,HL2,TME Inverness,HL2004,2548996.508926847018301,26349106110.669113159179688
